'Weird Al' Yankovic
2008
2009
2012
2013
50 Cent
7 Year Bitch
A. Michael Baldwin
A. Russell Andrews
A.D. Miles
A.J. Cook
AJ Bowen
Aaliyah
Aamir Khan
Aaran Thomas
Aarne Aksila
Aaron Abrams
Aaron Dismuke
Aaron Eckhart
Aaron Jeffery
Aaron Murphy
Aaron Paul
Aaron Ruell
Aaron Stanford
Aaron Taylor-Johnson
Aaron Tveit
Aaron Yoo
Aasif Mandvi
Abbie Cornish
Abdel Ahmed Ghili
Abdolrahman Bagheri
Abdullrahman Al Gohani
Abhin Galeya
Abigail Breslin
Abigail Clayton
Abigail Spencer
Abraham Benrubi
Abram Rooney
Adam
Adam Ant
Adam Arkin
Adam Baldwin
Adam Beach
Adam Bousdoukos
Adam Brody
Adam Brooks
Adam Bryant
Adam Butcher
Adam C. Edwards
Adam Campbell
Adam Chubbuck
Adam Clayton
Adam Cockburn
Adam Driver
Adam Garcia
Adam Goldberg
Adam Hann-Byrd
Adam Herschman
Adam Mucci
Adam Pascal
Adam Pawlikowski
Adam Roarke
Adam Sandler
Adam Scott
Adam Trese
Adam West
Adam Wingard
Adam Wood
Adama Niane
Adamo Ruggiero
Adar Beck
Addison Timlin
Adel Bencherif
Adele Lamont
Adele Mara
Aden Young
Adeola Ariyo
Adewale Akinnuoye-Agbaje
Aditya Roy Kapoor
Adolf Hitler
Adolfo Celi
Adolph Caesar
Adolph Davis
Adolphe Menjou
Adoni Maropis
Adrian Alonso
Adrian Brine
Adrian Dunbar
Adrian Grenier
Adrian Pasdar
Adrian Paul
Adrian Quinton
Adrian Rawlins
Adrian Zmed
Adriana Aizemberg
Adriana Alexander
Adriana Asti
Adriana Barraza
Adriana Caselotti
Adriana Conserva
Adriana Mocca
Adrianne Palicki
Adrien Beard
Adrien Brody
Adrienne Barbeau
Adrienne DeFaria
Adrienne King
Adrienne Servantie
Adrienne Shelly
Adrián Navarro
Adèle Exarchopoulos
Aerosmith
Aeryk Egan
Afra
Afshin Khorshid Bakhtiari
Agame Malembo-Emene
Agata Kulesza
Agata Trzebuchowska
Agathe Natanson
Agelem Habibi
Agga Olsen
Agnes Moorehead
Agnès Jaoui
Agnès Varda
Agustín Silva
Ahd
Ahna Capri
Ahney Her
Ai Kobayashi
Ai Matsubara
Ai Weiwei
Aida Mohammadkhani
Aida Turturro
Aidan Gillen
Aidan McArdle
Aidan Quinn
Aileen Wuornos
Ailidh Mackay
Ailton Graça
Aimee Garcia
Aimee King
Aino Taube
Aishwarya Rai Bachchan
Aisling O'Sullivan
Aitana Sánchez-Gijón
Ajay Naidu
Akbar Kurtha
Akemi
Akemi Okamura
Akemi Yamaguchi
Aki Maeda
Akihiko Hirata
Akihiro Kitamura
Akihiro Miwa
Akiko Takeshita
Akiko Wakabayashi
Akil
Akim Tamiroff
Akio Kobori
Akio Ôtsuka
Akira Ishihama
Akira Kubo
Akira Takarada
Akira Terao
Aksel Hennie
Aksel Thanke
Al Cliver
Al Ernest Garcia
Al Franken
Al Freeman Jr.
Al Gore
Al Pacino
Al Sunshine
Al Waxman
Alain Chabat
Alain Cuny
Alain Delon
Alain Lathière
Alain Prost
Alakina Mann
Alan Alda
Alan Arkin
Alan Badel
Alan Bates
Alan Baxter
Alan Bennett
Alan Boyle
Alan Cox
Alan Cumming
Alan Curtis
Alan Dale
Alan David
Alan Davies
Alan Drake
Alan Fawcett
Alan Gryfe
Alan Hale
Alan Howard
Alan King
Alan Ladd
Alan M. Dershowitz
Alan Marshal
Alan McKenna
Alan North
Alan Randolph Scott
Alan Rickman
Alan Ritchson
Alan Ruck
Alan Tam
Alan Tudyk
Alan Webb
Alan Young
Alanna Ubach
Alastair MacIntosh
Alastair Sim
Albert Austin
Albert Bitterling
Albert Brooks
Albert Dekker
Albert Delpy
Albert Dupontel
Albert Finney
Albert Grossman
Albert Hall
Albert Høeberg
Albert Rémy
Alberta Watson
Alberto Morin
Alberto Reyes
Alberto Sordi
Alberto de Mendoza
Alden Ehrenreich
Aldo Fabrizi
Aldo Giuffrè
Aldo Ray
Aldo Silvani
Aldo Valletti
Alec Baldwin
Alec Cawthorne
Alec Guinness
Alec Newman
Aleisha Allen
Alejandro Barbero
Alejandro Jodorowsky
Alejandro Rey
Alejo Sauras
Aleksa Palladino
Aleksandar Mikic
Aleksander Bardini
Aleksandr Antonov
Aleksandr Baluev
Aleksandr Demyanenko
Aleksandr Kaydanovskiy
Aleksandr Shvorin
Aleksey Batalov
Aleksey Kravchenko
Alessandra Martines
Alessandro Gassman
Alessandro Nivola
Alessio Boni
Alex Al
Alex Babic
Alex Borchardt
Alex Borstein
Alex D. Linz
Alex Datcher
Alex Descas
Alex Esmail
Alex Etel
Alex Ferris
Alex Fisher
Alex Frost
Alex Gibney
Alex Haw
Alex Jennings
Alex Kendrick
Alex Lee
Alex McArthur
Alex McKenna
Alex Meneses
Alex O'Loughlin
Alex Palmer
Alex Pettyfer
Alex Reid
Alex Rocco
Alex Russell
Alex Scott
Alex Veadov
Alex Vincent
Alex Weir
Alex Wiesendanger
Alex Winter
Alexa Davalos
Alexa PenaVega
Alexander Armstrong
Alexander D'Arcy
Alexander Godunov
Alexander Goodwin
Alexander Gould
Alexander Ludwig
Alexander Morton
Alexander Polinsky
Alexander Scourby
Alexander Singer
Alexander Skarsgård
Alexandra Apjarova
Alexandra Daddario
Alexandra Dahlström
Alexandra Delli Colli
Alexandra Holden
Alexandra Maria Lara
Alexandra Paul
Alexandra Stewart
Alexandra Wilson
Alexandre Borges
Alexandre Hamidi
Alexandre Rignault
Alexandre Rodrigues
Alexandre Tharaud
Alexandru Potocean
Alexia Fast
Alexia Keogh
Alexia Landeau
Alexis Arquette
Alexis Bledel
Alexis Clagett
Alexis Dziena
Alexis García V.
Alexis Kirschner
Alexis Smith
Alexis Zegerman
Alexz Johnson
Alfie Allen
Alfie Bass
Alfie Owen
Alfonso Arau
Alfre Woodard
Alfred Abel
Alfred Burke
Alfred Drake
Alfred Lutter III
Alfred Molina
Ali Astin
Ali Fadhil
Ali Larter
Ali MacGraw
Ali Mosaffa
Alia Shawkat
Alice Bag
Alice Bag Band
Alice Brady
Alice Braga
Alice Cooper
Alice Coulthard
Alice Englert
Alice Evans
Alice Eve
Alice Faye
Alice Greczyn
Alice Krige
Alice Lok Cahana
Alice Lowe
Alice da Cunha
Alicia Keys
Alicia Silverstone
Alicia Van Couvering
Alicia Vikander
Alicia Witt
Alicia del Lago
Alida Valli
Alima Ashton-Sheibu
Aline Kominsky
Alisa Freyndlikh
Alison Bartlett
Alison Brie
Alison Bruce
Alison Crosbie
Alison Doody
Alison Garland
Alison Lohman
Alison Pill
Alison Routledge
Alison Steadman
Alison Whelan
Aliya
Alizé
Allakariallak
Allan Corduner
Allan Edwall
Allan Gildea
Allan Jones
Allan Kolman
Allee
Allen Covert
Allen Danziger
Allen Daviau
Allen Evangelista
Allen Fiuzat
Allen Garfield
Allen Holubar
Allen Joseph
Allen Payne
Allen Soule
Allie Mickelson
Allison Anders
Allison Bills
Allison Dean
Allison Janney
Allison Miller
Allison Nega
Allison Roddan
Ally Sheedy
Ally Walker
Allyn Ann McLerie
Allyson Sereboff
Almanta Suska
Alok Chakravarty
Alonna Shaw
Alonzo Brown
Alvin DuVernay
Alyson Hannigan
Alyssa Milano
Alysson Paradis
Amanda Bearse
Amanda Brooks
Amanda Bynes
Amanda Crew
Amanda Davin
Amanda De Cadenet
Amanda Donohoe
Amanda Kearsan
Amanda Lear
Amanda Pays
Amanda Peet
Amanda Peterson
Amanda Plummer
Amanda Redman
Amanda Root
Amanda Schull
Amanda Seyfried
Amanda Tapping
Amanda Wyss
Amandla Stenberg
Amara Karan
Amara Miller
Amaury Nolasco
Amber Armstrong
Amber Benson
Amber Heard
Amber Tamblyn
Amber Valletta
Ambrosia Kelley
Amelia Campbell
America Ferrera
Ami Almendral
Amie Carey
Amiina
Amir AboulEla
Amir Bar-Lev
Amir Farrokh Hashemian
Amira Bustamante
Amira Casar
Amira Chemakhi
Amitabh Bachchan
Aml Ameen
Amr Waked
Amrish Puri
Amy Adams
Amy Aquino
Amy Braverman
Amy Brenneman
Amy Goodman
Amy Green
Amy Hargreaves
Amy Ingersoll
Amy Irving
Amy Jo Johnson
Amy Locane
Amy Madigan
Amy Poehler
Amy Robinson
Amy Ryan
Amy Sedaris
Amy Seimetz
Amy Smart
Amy Steel
Amy Stewart
Amy Stryker
Amy Wright
Amy Yasbeck
Amédée
An Nguyen
Ana Alicia
Ana Claudia Talancón
Ana López Mercado
Ana Torrent
Ana de la Reguera
Anabelle Lachatte
Anais Evans
Analeigh Tipton
Anamaria Marinca
Anand Tiwari
Anand Upadhyaya
Anatoli Davydov
Anatoli Karpov
Anatoliy Solonitsyn
Anders Baasmo Christiansen
Anders Danielsen Lie
Anders W. Berthelsen
Andersen Gabrych
Andie MacDowell
Andile Mngadi
Andra Akers
Andre Braugher
Andre Gower
Andre Gregory
Andrea Checchi
Andrea Corr
Andrea Eckert
Andrea James
Andrea Marcovicci
Andrea Martin
Andrea Occhipinti
Andrea Riseborough
Andreas Katsulas
Andreas Schröders
Andreas Wilson
Andreas Wisniewski
Andree Maranda
Andrew Bagby
Andrew Brackfield
Andrew Braunsberg
Andrew Cassese
Andrew Chalmers
Andrew Chavez
Andrew Cherry
Andrew Dice Clay
Andrew Divoff
Andrew Fraser
Andrew Garfield
