movieId	imdbId	tmdbId	Title	Year	Director	Actors	Genre	Language	Country	Plot
1	0114709	862	Toy Story	1995	John Lasseter	Tom Hanks, Tim Allen, Don Rickles, Jim Varney	Animation, Adventure, Comedy	English	USA	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2	0113497	8844	Jumanji	1995	Joe Johnston	Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce	Action, Adventure, Family	English, French	USA	When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.
3	0113228	15602	Grumpier Old Men	1995	Howard Deutch	Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret	Comedy, Romance	English	USA	John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.
4	0114885	31357	Waiting to Exhale	1995	Forest Whitaker	Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon	Comedy, Drama, Romance	English	USA	Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.
5	0113041	11862	Father of the Bride Part II	1995	Charles Shyer	Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley	Comedy, Family, Romance	English	USA	George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.
6	0113277	949	Heat	1995	Michael Mann	Al Pacino, Robert De Niro, Val Kilmer, Jon Voight	Action, Crime, Drama	English, Spanish	USA	A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7	0114319	11860	Sabrina	1995	Sydney Pollack	Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand	Comedy, Drama	English, French	Germany, USA	An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.
8	0112302	45325	Tom and Huck	1995	Peter Hewitt	Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket	Adventure, Comedy, Drama	English	USA	Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.
9	0114576	9091	Sudden Death	1995	Peter Hyams	Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright	Action, Crime, Thriller	English	USA	A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10	0113189	710	GoldenEye	1995	Martin Campbell	Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen	Action, Adventure, Thriller	English, Russian, Spanish	UK, USA	James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.
11	0112346	9087	The American President	1995	Rob Reiner	Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox	Comedy, Drama, Romance	English, French	USA	Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but "politics is perception" and sparks fly anyway.
12	0112896	12110	Dracula: Dead and Loving It	1995	Mel Brooks	Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck	Comedy, Fantasy, Horror	English, German	USA, France	Mel Brooks' parody of the classic vampire story and its famous film adaptations.
13	0112453	21032	Balto	1995	Simon Wells	Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings	Animation, Adventure, Drama	English	USA	An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.
14	0113987	10858	Nixon	1995	Oliver Stone	Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris	Biography, Drama, History	English, Mandarin, Russian	USA	A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.
15	0112760	1408	Cutthroat Island	1995	Renny Harlin	Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin	Action, Adventure, Comedy	English	USA, France, Italy, Germany	A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16	0112641	524	Casino	1995	Martin Scorsese	Robert De Niro, Sharon Stone, Joe Pesci, James Woods	Biography, Crime, Drama	English	USA, France	Greed, deception, money, power, and murder occur between two best friends, a mafia underboss and a casino owner, for a trophy wife over a gambling empire.
17	0114388	4584	Sense and Sensibility	1995	Ang Lee	James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet	Drama, Romance	English, French	USA, UK	Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.
18	0113101	5	Four Rooms	1995	Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino	Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna	Comedy	English	USA	Four interlocking tales that take place in a fading hotel on New Year's Eve.
19	0112281	9273	Ace Ventura: When Nature Calls	1995	Steve Oedekerk	Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi	Adventure, Comedy	English	USA	Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.
20	0113845	11517	Money Train	1995	Joseph Ruben	Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake	Action, Comedy, Crime	English	USA	A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.
21	0113161	8012	Get Shorty	1995	Barry Sonnenfeld	John Travolta, Gene Hackman, Rene Russo, Danny DeVito	Comedy, Crime, Thriller	English	USA	A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.
22	0112722	1710	Copycat	1995	Jon Amiel	Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara	Mystery, Thriller	English	USA	An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23	0112401	9691	Assassins	1995	Richard Donner	Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov	Action, Crime, Thriller	English, Dutch, Spanish	France, USA	Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24	0114168	12665	Powder	1995	Victor Salva	Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum	Drama, Fantasy, Mystery	English	USA	An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25	0113627	451	Leaving Las Vegas	1995	Mike Figgis	Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis	Drama, Romance	English, Russian	USA	Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
26	0114057	16420	Othello	1995	Oliver Parker	Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker	Drama, Romance	English	USA, UK	The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
27	0114011	9263	Now and Then	1995	Lesli Linka Glatter	Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith	Comedy, Drama, Romance	English	USA	Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28	0114117	17015	Persuasion	1995	Roger Michell	Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave	Drama, Romance	English	UK, USA, France	Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...
29	0112682	902	The City of Lost Children	1995	Marc Caro, Jean-Pierre Jeunet	Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon	Fantasy, Sci-Fi	French, Cantonese	France, Germany, Spain	A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.
30	0115012	37557	Shanghai Triad	1995	Yimou Zhang	Li Gong, Baotian Li, Wang Xiaoxiao, Xuejian Li	Crime, Drama, Romance	Mandarin	France, China	A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31	0112792	9909	Dangerous Minds	1995	John N. Smith	Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett	Biography, Drama	English	USA	An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32	0114746	63	Twelve Monkeys	1995	Terry Gilliam	Joseph Melito, Bruce Willis, Jon Seda, Michael Chance	Mystery, Sci-Fi, Thriller	English, French	USA	In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
34	0112431	9598	Babe	1995	Chris Noonan	Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving	Comedy, Drama, Family	English	Australia, USA	Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.
35	0112637	47018	Carrington	1995	Christopher Hampton	Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West	Biography, Drama, Romance	English	UK, France	The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.
36	0112818	687	Dead Man Walking	1995	Tim Robbins	Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry	Crime, Drama	English	UK, USA	A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.
37	0112286	139405	Across the Sea of Time	1995	Stephen Low	Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach	Adventure, Drama, Family	English, Russian	USA	A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...
38	0113442	33689	It Takes Two	1995	Andy Tennant	Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen	Comedy, Family, Romance	English	USA	Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...
39	0112697	9603	Clueless	1995	Amy Heckerling	Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd	Comedy, Romance	English, Spanish	USA	A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.
40	0112749	34615	Cry, the Beloved Country	1995	Darrell Roodt	James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton	Drama, Thriller	English	South Africa, USA	A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41	0114279	31174	Richard III	1995	Richard Loncraine	Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr.	Drama, War	English	UK, USA	The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.
42	0112819	11443	Dead Presidents	1995	Albert Hughes, Allen Hughes	Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez	Action, Crime, Drama	English	USA	A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.
43	0114272	35196	Restoration	1995	Michael Hoffman	Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker	Biography, Drama, History	English, Latin	USA, UK	The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.
44	0113855	9312	Mortal Kombat	1995	Paul W.S. Anderson	Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa	Action, Adventure, Fantasy	English	USA	Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
45	0114681	577	To Die For	1995	Gus Van Sant	Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck	Comedy, Crime, Drama	English	USA, UK, Canada	Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.
46	0113347	11861	How to Make an American Quilt	1995	Jocelyn Moorhouse	Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin	Comedy, Drama, Romance	English	USA	Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47	0114369	807	Se7en	1995	David Fincher	Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt	Crime, Drama, Mystery	English	USA	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.
48	0114148	10530	Pocahontas	1995	Mike Gabriel, Eric Goldberg	Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers	Animation, Adventure, Drama	English, Algonquin	USA	An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
